Date_str,views_as_of_Jan-15-18,views_as_of_Jan-29-18,song_parody,transcript,transcript source,video_link,vid length (min),views_as_of_March-9-18,views_as_of_Feb-21-18,video_title
"Dec 17, 2012","8,560","8,812",y,susanBoyleAwkwardDiva.txt,youtube,https://www.youtube.com/watch?v=XcjBQrb202o,1:35,"9,646","9,376","""Susan Boyle the Awkward Diva | Randy Rainbow"""
"Aug 1, 2012","384,517","386,406",n,randyRainbowWorksAtChickFilA.txt,youtube,https://www.youtube.com/watch?v=jiZLFjbqDxQ,3:40,"392,629","390,863","""Randy Rainbow Works at Chick-fil-A"""
"Jul 15, 2012","36,805","37,503",n,highSchoolMusical.txt,youtube,https://www.youtube.com/watch?v=JO571wGDucE,5:22,"39,332","38,712","""High School Musical Starring Randy Rainbow"""
"July 5, 2012","47,428","47,784",n,tomCruiseAndersonCooperSpeedDate.txt,youtube,https://www.youtube.com/watch?v=G-R7qRPiHtE,5:27,"48,844","48,482","""Tom Cruise and Anderson Cooper Speed Date"""
"May 13, 2012","33,455","33,768",n,johnTravoltaHarassesRandy.txt,youtube,https://www.youtube.com/watch?v=jdMuwTRofR0,4:18,"34,698","34,341","""John Travolta Harasses Randy Rainbow"""
"Mar 11, 2012","54,033","54,164",n,kirkCameronDatingRandy.txt,youtube,https://www.youtube.com/watch?v=_la4rrc_53c,4:53,"54,569","54,415","""Kirk Cameron is Dating Randy Rainbow"""
"Feb 13, 2012","16,331","16,400",n,mittRomneyKissMe.txt,youtube,https://www.youtube.com/watch?v=Or2jsyGBxrg,4:30,"16,616","16,531","""Mitt Romney, Kiss Me!"""
"Dec 25, 2011","27,581","28,184",y,rickPerryRandyRainbowXmas.txt,youtube,https://www.youtube.com/watch?v=1DUYZQHeqjI,5:09,"29,640","29,177","""Rick Perry and Randy Rainbow: The XMas Album"""
"November 13, 2011","18,309","18,391",n,rickPerryGetsDrunkPhoneCall.txt,youtube,https://www.youtube.com/watch?v=ZQqDWuXT51w,4:43,"18,649","18,545","""Rick Perry Gets a Drunk Phone Call from Randy Rainbow"""
"October 30, 2011","15,219","15,297",n,beaArthurRandyHalloween.txt,youtube,https://www.youtube.com/watch?v=8kzBfEw44M4,4:08,"15,526","15,446","""Bea Arthur and Randy Rainbow's Halloween Special"""
