Date_str,song_parody,transcript,transcript source,vid length (min),video_id,video_type,video_link,2020-09-13,2020-08-17,video_title,2018-01-15,2018-01-29,2018-02-21,2018-03-09,2018-03-17,2018-04-20,2018-05-07,2018-06-08,2018-06-21,2018-07-16,2018-08-21,2018-08-27,2018-09-24,2018-10-15,2018-11-05,2018-12-05,2019-01-14,2019-01-28,2019-02-19,2019-03-06,2019-03-28,2019-04-02,2019-04-29,2019-05-28,2019-07-22,2019-08-29,2019-10-17,2019-11-22,2020-01-20,2020-02-18,2020-03-03,2020-03-14,2020-03-22,2020-04-06,2020-04-25,2020-05-19,2020-06-07,2020-06-29,2020-07-06,2020-07-22,2020-08-10,,RemovedFromYoutube
"Mar 5, 2018",y,kids.txt,youtube,3:50,9dcTw-Jk-yE,.mp4,https://www.youtube.com/watch?v=9dcTw-Jk-yE,"582,082","572,219","""KIDS! A Randy Rainbow Song Parody""",0,0,0,"92,401","134,885","194,300","201,408","213,607","217,901","226,594","259,848","270,436","297,150","306,499","317,291","330,762","347,797","352,950","368,521","375,463","382,436","384,407","388,818","393,271","407,484","432,195","465,056","476,028","486,215","491,036","494,002","495,693","497,275","501,418","506,762","519,428","529,154","540,721","547,518","557,988","568,269",,
"Feb 12, 2018",y,none,none,4:20,nGP0cuilgWE,.webm,https://www.youtube.com/watch?v=nGP0cuilgWE,"1,076,322","1,047,073","""STAND BY YOUR MAN (Donald Trump)",0,0,"117,981","142,184","148,032","160,541","163,361","168,989","170,901","175,772","207,373","217,709","266,666","284,704","299,962","319,188","358,205","375,115","409,347","428,838","446,820","450,740","462,381","475,278","514,317","571,720","629,372","655,967","677,433","693,611","701,410","705,805","709,133","721,885","740,807","873,927","926,225","978,246","995,053","1,016,841","1,038,891",,
"Jan 29, 2018",y,none,none,4:28,_4q8x5fR4Sw,.webm,https://www.youtube.com/watch?v=_4q8x5fR4Sw,"1,698,611","1,665,972","""ALL ABOUT HIS BASE""",0,"23,454","218,187","245,106","254,986","286,047","295,861","315,559","323,193","342,496","403,812","417,885","486,799","511,731","535,787","562,300","615,115","630,794","668,172","685,591","700,969","703,791","716,692","727,870","793,109","849,106","908,338","950,402","992,579","1,014,223","1,027,454","1,034,821","1,042,724","1,066,372","1,142,185","1,424,574","1,471,356","1,530,699","1,586,109","1,624,227","1,656,335",,
"Jan 8, 2018",y,buttons.txt,youtube,3:13,kDB5b5aYef4,.webm,https://www.youtube.com/watch?v=kDB5b5aYef4,"425,328","417,669","""Buttons!"" ","114,209","151,464","173,509","179,943","182,826","191,689","195,185","203,693","206,504","209,697","220,352","223,151","238,499","243,821","250,135","255,579","267,197","272,424","283,590","288,945","294,983","296,120","299,697","303,342","313,216","330,600","348,201","354,394","361,089","364,343","365,994","366,937","367,712","369,512","372,235","380,612","385,964","396,960","401,451","409,513","415,732",,
"Dec 11, 2017",y,sheWasSixteen.txt,youtube,4:59,Y3WhDE-O6lc,.mkv,https://www.youtube.com/watch?v=Y3WhDE-O6lc,"1,012,851","985,136","""She Was SIXTEEN GOING ON SEVENTEEN""","169,613","189,562","214,218","223,267","227,244","240,566","245,337","261,212","265,713","277,706","332,256","341,679","385,636","405,404","426,714","442,687","472,470","487,301","505,409","512,512","520,858","522,105","528,267","534,648","577,211","620,612","676,634","698,569","719,421","729,325","735,375","738,902","743,503","757,237","775,800","834,815","862,933","903,391","925,200","949,131","975,848",,
"Nov 14, 2017",y,thoseWereTheGoodOldDays.txt,youtube,4:40,2oW1CN8sbw0,.webm,https://www.youtube.com/watch?v=2oW1CN8sbw0,"834,764","791,377","""THOSE WERE THE GOOD OLD DAYS""","184,650","192,420","210,471","216,603","219,740","230,216","233,538","241,474","244,592","262,102","287,331","293,878","331,277","343,048","354,742","361,512","372,474","376,916","391,395","398,994","409,498","411,441","420,952","427,613","452,421","487,463","524,207","554,836","573,624","578,942","581,469","583,046","584,568","588,348","594,747","622,991","645,741","680,547","696,427","718,254","772,782",,
"Oct 31, 2017",y,none,none,3:14,U8vD8ZP-eMI,.webm,https://www.youtube.com/watch?v=U8vD8ZP-eMI,"534,912","528,589","""SWEET INDICTMENT""","204,466","209,199","219,045","224,295","226,169","232,588","234,797","239,778","241,766","247,899","275,029","286,140","316,175","324,310","331,443","339,259","357,020","364,488","378,482","386,150","394,193","395,168","398,794","402,953","414,787","430,513","458,351","466,440","474,815","478,387","480,091","481,128","481,988","484,094","487,049","494,365","499,286","507,512","510,696","518,949","526,956",,
"Oct 11, 2017",y,none,none,4:30,LTosB6V_V24,.webm,https://www.youtube.com/watch?v=LTosB6V_V24,"3,052,311","3,003,765","""DESPERATE CHEETO""","959,900","1,040,356","1,148,607","1,193,144","1,212,828","1,285,319","1,313,437","1,362,788","1,383,122","1,425,942","1,533,133","1,556,186","1,658,282","1,704,869","1,754,730","1,808,379","1,884,678","1,922,430","1,983,311","2,016,377","2,052,561","2,059,774","2,091,741","2,125,865","2,217,853","2,309,010","2,411,793","2,467,856","2,534,328","2,565,605","2,583,560","2,598,781","2,615,706","2,656,040","2,712,145","2,772,734","2,816,579","2,874,597","2,902,974","2,948,519","2,991,021",,
"Sep 25, 2017",y,howDoYouSolveAProblemLikeKorea.txt,youtube,4:37,580dYcYCneA,.webm,https://www.youtube.com/watch?v=580dYcYCneA,"1,265,040","1,248,385","""How Do You Solve A Problem Like Korea?""","508,729","536,968","566,442","578,818","584,524","604,510","613,014","647,624","658,406","678,745","749,038","760,479","797,251","810,394","823,784","836,542","855,114","862,659","877,409","885,573","893,624","894,888","900,872","908,299","948,127","977,510","1,008,869","1,025,737","1,042,926","1,049,469","1,053,648","1,056,421","1,059,217","1,069,041","1,086,608","1,146,807","1,171,487","1,194,842","1,208,530","1,226,395","1,243,860",,
"Sep 6, 2017",y,dacaShame.txt,youtube,3:55,q1CqNLgM5JU,.webm,https://www.youtube.com/watch?v=q1CqNLgM5JU,"475,568","469,021","""DACA Shame""","213,831","217,359","224,179","226,907","227,836","231,800","232,756","234,786","235,628","237,718","244,260","246,037","254,821","259,138","265,342","271,055","290,200","296,899","313,583","318,927","324,190","325,225","329,387","333,740","347,711","382,500","401,235","408,742","415,639","418,996","420,866","421,755","422,547","424,565","427,955","435,358","441,248","450,009","453,603","460,268","467,410",,
"Aug 21, 2017",y,yesWeHaveNoSteveBannon.txt,youtube,4:01,If4eQHYKSu8,.mkv,https://www.youtube.com/watch?v=If4eQHYKSu8,"680,103","659,666","""YES! WE HAVE NO STEVE BANNON!""","222,062","227,591","236,837","240,884","243,126","251,175","254,051","260,080","262,064","265,455","279,645","284,457","303,666","315,620","331,872","343,773","359,045","370,163","381,793","389,950","398,797","399,669","404,014","416,238","440,554","460,732","493,067","510,923","558,923","568,772","573,172","578,565","581,390","585,966","592,518","615,663","625,692","639,730","644,361","650,815","657,485",,
"Jul 31, 2017",y,theSychophantItaliano.txt,youtube,4:14,UO3ZIBONcr4,.webm,https://www.youtube.com/watch?v=UO3ZIBONcr4,"442,080","432,491","""THE SYCOPHANT ITALIANO""","175,309","178,921","186,353","189,755","191,629","197,838","199,454","203,883","205,383","207,264","217,587","221,368","233,811","239,044","246,023","252,311","263,189","268,461","277,195","281,674","287,512","288,582","292,282","296,479","306,774","326,437","342,978","350,250","359,365","362,832","364,698","366,079","367,344","370,794","375,543","385,931","394,454","405,575","411,623","420,707","430,071",,
