Date_str,views_as_of_Jan-15-18,views_as_of_Jan-29-18,song_parody,transcript,transcript source,video_link,vid length (min),views_as_of_March-17-18,views_as_of_March-9-18,video_title,views_as_of_Feb-21-18
"Dec 25, 2011","27,581","28,184",y,rickPerryRandyRainbowXmas.txt,youtube,https://www.youtube.com/watch?v=1DUYZQHeqjI,5:09,"29,830","29,640","""Rick Perry and Randy Rainbow: The XMas Album""","29,177"
"November 13, 2011","18,309","18,391",n,rickPerryGetsDrunkPhoneCall.txt,youtube,https://www.youtube.com/watch?v=ZQqDWuXT51w,4:43,"18,702","18,649","""Rick Perry Gets a Drunk Phone Call from Randy Rainbow""","18,545"
"October 30, 2011","15,219","15,297",n,beaArthurRandyHalloween.txt,youtube,https://www.youtube.com/watch?v=8kzBfEw44M4,4:08,"15,566","15,526","""Bea Arthur and Randy Rainbow's Halloween Special""","15,446"
"October 17, 2011","7,444","7,478",n,theFundraiser.txt,youtube,https://www.youtube.com/watch?v=YmHu2JRtRug,5:26,"7,585","7,567","""The Fundraiser""","7,529"
"July 24, 2011","16,042","16,113",n,marcusBachmannNotGettingMarried.txt,youtube,https://www.youtube.com/watch?v=mNlTI-P6yTY,5:12,"16,325","16,289","""Marcus Bachmann Is Not Getting Married to Randy Rainbow""","16,213"
"May 1, 2011","39,350","40,088",n,royalWedding.txt,youtube,https://www.youtube.com/watch?v=XlJWmrK7Bu8,4:52,"42,795","42,455","""Royal Wedding: The Morning After""","41,692"
"Apr 6, 2011","23,396","24,011",y,americanIdolWelcomesBack.txt,youtube,https://www.youtube.com/watch?v=uUI3OGHfk9g,5:05,"25,951","25,665","""American Idol Welcomes Back Randy Rainbow""","25,168"
"Feb 27, 2011","15,752","15,837",n,charlieSheenRandysNewBoyfriend.txt,youtube,https://www.youtube.com/watch?v=iHBqXGLsQI0,4:42,"16,147","16,085","""Charlie Sheen Is Randy Rainbow's New Boyfriend""","15,990"
"Feb 13, 2011","46,245","46,702",n,melGibsonRandySeekCounseling.txt,youtube,https://www.youtube.com/watch?v=N__uN_l4Gsc,5:40,"47,925","47,742","""Mel Gibson and Randy Rainbow Seek Counseling""","47,380"
"Jan 25, 2011","175,348","180,547",n,americanIdolAudition.txt,youtube,https://www.youtube.com/watch?v=QHoh82ZwDjw,5:05,"198,915","196,142","""American Idol Audition""","192,063"
"Jan 9, 2011","9,068","9,117",n,spiderManCastSaved.txt,youtube,https://www.youtube.com/watch?v=VChJ4SnyfdQ,5:13,"9,259","9,238","""Spider-Man Cast Saved by Randy Rainbow""","9,190"
"Dec 13, 2010","11,583","11,655",n,melGibsonSpendsChristmas.txt,youtube,https://www.youtube.com/watch?v=JLfxq7t2KX4,4:39,"11,877","11,841","""Mel Gibson Spends Christmas with Randy Rainbow""","11,765"
"Nov 18, 2010","8,586","8,637",n,kanyeWestKicksIt.txt,youtube,https://www.youtube.com/watch?v=icVRIlkn0hk,3:29,"8,810","8,778","""Kanye West Kicks It With Randy Rainbow""","8,732"
"Oct 25, 2010","9,581","9,637",n,randyRainbowStars.txt,youtube,https://www.youtube.com/watch?v=YNOzRXKzEfk,4:34,"9,817","9,782","""Randy Rainbow Stars In a Show!""","9,725"
"Oct 3, 2010","11,046","11,080",n,rachelZoeHiresRandy.txt,youtube,https://www.youtube.com/watch?v=h3qu6KgoORo,4:55,"11,207","11,189","""Rachel Zoe Hires Randy Rainbow!""","11,141"
"Sep 13, 2010","30,146","30,323",n,randyRainbowGettingMarried.txt,youtube,https://www.youtube.com/watch?v=3jkRjULDoFk,5:57,"30,963","30,864","""Randy Rainbow Getting Married?""","30,634"
"August 30, 2010","45,427","45,522",n,lindsayLohanGetsCallFromRandy.txt,youtube,https://www.youtube.com/watch?v=b3bP3t4u8rg,4:18,"45,811","45,756","""Lindsay Lohan Gets a Call from Randy Rainbow""","45,668"
"August 19, 2010","22,833","22,927",n,drLauraGetsCallFromRandy.txt,youtube,https://www.youtube.com/watch?v=h7TQRPqK6ig,3:04,"23,345","23,263","""Dr. Laura Gets a Call from Randy Rainbow""","23,143"
"August 1, 2010","45,815","45,895",n,chelseaClintonWedding.txt,youtube,https://www.youtube.com/watch?v=m1ifaaeii3k,3:23,"46,400","46,369","""Chelsea Clinton's Wedding: The Morning After""","46,083"
"May 27, 2010","4,051","4,063",n,none,none,https://www.youtube.com/watch?v=EW3CCkdhTic,1:24,"4,113","4,102","""American Idol Reaction""","4,092"
"May 23, 2010","16,667","16,912",n,oprahAudition.txt,youtube,https://www.youtube.com/watch?v=oJEVnkNY6Sk,5:41,"17,666","17,550","""The Oprah Audition""","17,327"
"May 2, 2010","3,915","3,960",n,previouslyOn.txt,youtube,https://www.youtube.com/watch?v=iOapmFuX6uc,3:01,"4,133","4,114","""Previously On""","4,047"
"Jan 3, 2010","9,090","9,291",n,visionBoard.txt,youtube,https://www.youtube.com/watch?v=vu_5dOXzmN8,7:05,"10,058","9,913","""Randy Rainbow's Vision Board""","9,673"
"Nov 22, 2009","5,895","5,921",n,chadKimballInterview.txt,youtube,https://www.youtube.com/watch?v=sCBzx1Nc2Rc,9:59,"6,043","6,028","""Chad Kimball of the Broadway Show Memphis Interviewed""","5,987"
"May 4, 2009","23,480","23,731",n,mirandaVoiceLessons.txt,youtube,https://www.youtube.com/watch?v=GWko3MBcGHg,7:14,"24,633","24,501","""Miranda Gives Voice Lessons to Randy Rainbow""","24,240"
