Date_str,views_as_of_Jan-15-18,views_as_of_Jan-29-18,song_parody,transcript,transcript source,vid length (min),video_link,views_as_of_June_21_2018,views_as_of_June-08-18,video_title,views_as_of_Feb-21-18,views_as_of_March-9-18,views_as_of_April-20-18,views_as_of_March-17-18,views_as_of_May-07-18
"Dec 25, 2011","27,581","28,184",y,rickPerryRandyRainbowXmas.txt,youtube,5:09,https://www.youtube.com/watch?v=1DUYZQHeqjI,"31,338","31,182","""Rick Perry and Randy Rainbow: The XMas Album""","29,177","29,640","30,515","29,830","30,696"
"November 13, 2011","18,309","18,391",n,rickPerryGetsDrunkPhoneCall.txt,youtube,4:43,https://www.youtube.com/watch?v=ZQqDWuXT51w,"19,211","19,145","""Rick Perry Gets a Drunk Phone Call from Randy Rainbow""","18,545","18,649","18,899","18,702","18,970"
"October 30, 2011","15,219","15,297",n,beaArthurRandyHalloween.txt,youtube,4:08,https://www.youtube.com/watch?v=8kzBfEw44M4,"15,916","15,881","""Bea Arthur and Randy Rainbow's Halloween Special""","15,446","15,526","15,711","15,566","15,766"
"October 17, 2011","7,444","7,478",n,theFundraiser.txt,youtube,5:26,https://www.youtube.com/watch?v=YmHu2JRtRug,"7,750","7,729","""The Fundraiser""","7,529","7,567","7,656","7,585","7,684"
"July 24, 2011","16,042","16,113",n,marcusBachmannNotGettingMarried.txt,youtube,5:12,https://www.youtube.com/watch?v=mNlTI-P6yTY,"16,653","16,614","""Marcus Bachmann Is Not Getting Married to Randy Rainbow""","16,213","16,289","16,458","16,325","16,503"
"May 1, 2011","39,350","40,088",n,royalWedding.txt,youtube,4:52,https://www.youtube.com/watch?v=XlJWmrK7Bu8,"46,846","46,335","""Royal Wedding: The Morning After""","41,692","42,455","43,935","42,795","44,366"
"Apr 6, 2011","23,396","24,011",y,americanIdolWelcomesBack.txt,youtube,5:05,https://www.youtube.com/watch?v=uUI3OGHfk9g,"27,997","27,836","""American Idol Welcomes Back Randy Rainbow""","25,168","25,665","26,821","25,951","27,103"
"Feb 27, 2011","15,752","15,837",n,charlieSheenRandysNewBoyfriend.txt,youtube,4:42,https://www.youtube.com/watch?v=iHBqXGLsQI0,"16,569","16,525","""Charlie Sheen Is Randy Rainbow's New Boyfriend""","15,990","16,085","16,337","16,147","16,395"
"Feb 13, 2011","46,245","46,702",n,melGibsonRandySeekCounseling.txt,youtube,5:40,https://www.youtube.com/watch?v=N__uN_l4Gsc,"49,404","49,218","""Mel Gibson and Randy Rainbow Seek Counseling""","47,380","47,742","48,587","47,925","48,818"
"Jan 25, 2011","175,348","180,547",n,americanIdolAudition.txt,youtube,5:05,https://www.youtube.com/watch?v=QHoh82ZwDjw,"214,470","212,797","""American Idol Audition""","192,063","196,142","206,026","198,915","207,739"
"Jan 9, 2011","9,068","9,117",n,spiderManCastSaved.txt,youtube,5:13,https://www.youtube.com/watch?v=VChJ4SnyfdQ,"9,450","9,425","""Spider-Man Cast Saved by Randy Rainbow""","9,190","9,238","9,342","9,259","9,375"
"Dec 13, 2010","11,583","11,655",n,melGibsonSpendsChristmas.txt,youtube,4:39,https://www.youtube.com/watch?v=JLfxq7t2KX4,"12,333","12,225","""Mel Gibson Spends Christmas with Randy Rainbow""","11,765","11,841","12,047","11,877","12,100"
"Nov 18, 2010","8,586","8,637",n,kanyeWestKicksIt.txt,youtube,3:29,https://www.youtube.com/watch?v=icVRIlkn0hk,"9,062","9,036","""Kanye West Kicks It With Randy Rainbow""","8,732","8,778","8,916","8,810","8,958"
"Oct 25, 2010","9,581","9,637",n,randyRainbowStars.txt,youtube,4:34,https://www.youtube.com/watch?v=YNOzRXKzEfk,"10,116","10,065","""Randy Rainbow Stars In a Show!""","9,725","9,782","9,946","9,817","9,996"
"Oct 3, 2010","11,046","11,080",n,rachelZoeHiresRandy.txt,youtube,4:55,https://www.youtube.com/watch?v=h3qu6KgoORo,"11,403","11,377","""Rachel Zoe Hires Randy Rainbow!""","11,141","11,189","11,288","11,207","11,320"
"Sep 13, 2010","30,146","30,323",n,randyRainbowGettingMarried.txt,youtube,5:57,https://www.youtube.com/watch?v=3jkRjULDoFk,"31,702","31,611","""Randy Rainbow Getting Married?""","30,634","30,864","31,303","30,963","31,401"
"August 30, 2010","45,427","45,522",n,lindsayLohanGetsCallFromRandy.txt,youtube,4:18,https://www.youtube.com/watch?v=b3bP3t4u8rg,"46,199","46,162","""Lindsay Lohan Gets a Call from Randy Rainbow""","45,668","45,756","45,985","45,811","46,038"
"August 19, 2010","22,833","22,927",n,drLauraGetsCallFromRandy.txt,youtube,3:04,https://www.youtube.com/watch?v=h7TQRPqK6ig,"23,995","23,921","""Dr. Laura Gets a Call from Randy Rainbow""","23,143","23,263","23,626","23,345","23,717"
"August 1, 2010","45,815","45,895",n,chelseaClintonWedding.txt,youtube,3:23,https://www.youtube.com/watch?v=m1ifaaeii3k,"46,731","46,696","""Chelsea Clinton's Wedding: The Morning After""","46,083","46,369","46,539","46,400","46,589"
"May 27, 2010","4,051","4,063",n,none,none,1:24,https://www.youtube.com/watch?v=EW3CCkdhTic,"4,190","4,181","""American Idol Reaction""","4,092","4,102","4,139","4,113","4,155"
"May 23, 2010","16,667","16,912",n,oprahAudition.txt,youtube,5:41,https://www.youtube.com/watch?v=oJEVnkNY6Sk,"18,695","18,607","""The Oprah Audition""","17,327","17,550","18,104","17,666","18,238"
"May 2, 2010","3,915","3,960",n,previouslyOn.txt,youtube,3:01,https://www.youtube.com/watch?v=iOapmFuX6uc,"4,352","4,333","""Previously On""","4,047","4,114","4,231","4,133","4,273"
"Jan 3, 2010","9,090","9,291",n,visionBoard.txt,youtube,7:05,https://www.youtube.com/watch?v=vu_5dOXzmN8,"10,928","10,808","""Randy Rainbow's Vision Board""","9,673","9,913","10,416","10,058","10,531"
"Nov 22, 2009","5,895","5,921",n,chadKimballInterview.txt,youtube,9:59,https://www.youtube.com/watch?v=sCBzx1Nc2Rc,"6,232","6,205","""Chad Kimball of the Broadway Show Memphis Interviewed""","5,987","6,028","6,114","6,043","6,137"
"May 4, 2009","23,480","23,731",n,mirandaVoiceLessons.txt,youtube,7:14,https://www.youtube.com/watch?v=GWko3MBcGHg,"25,647","25,513","""Miranda Gives Voice Lessons to Randy Rainbow""","24,240","24,501","25,070","24,633","25,169"
