Date_str,song_parody,transcript,transcript source,vid length (min),video_id,video_type,video_link,2018-07-16,video_title,2018-01-15,2018-01-29,2018-02-21,2018-03-09,2018-03-17,2018-04-20,2018-05-07,2018-06-08,2018-06-21
"Aug 30, 2013",n,behindTheTiara.txt,youtube,5:50,sYTzq70TsFo,.mkv,https://www.youtube.com/watch?v=sYTzq70TsFo,"10,615","""Behind the Tiara - Randy Rainbow and Ivy Profen""","7,529","7,777","8,358","8,568","8,659","9,384","9,668","10,133","10,278"
"Aug 1, 2013",n,anthonyWeinerDatingRandy.txt,youtube,4:02,3BBiN98XVvE,.webm,https://www.youtube.com/watch?v=3BBiN98XVvE,"57,100","""Anthony Weiner is Dating Randy Rainbow""","52,405","52,846","53,966","54,497","54,690","55,390","55,607","56,129","56,404"
"Jan 26, 2013",n,newRandyRainbowShow.txt,youtube,1:28,J_JkjjdgaWA,.mkv,https://www.youtube.com/watch?v=J_JkjjdgaWA,"4,422","""NEW RANDY RAINBOW SHOW!""","4,003","4,044","4,129","4,184","4,212","4,304","4,324","4,370","4,386"
"Dec 17, 2012",y,susanBoyleAwkwardDiva.txt,youtube,1:35,XcjBQrb202o,.webm,https://www.youtube.com/watch?v=XcjBQrb202o,"11,357","""Susan Boyle the Awkward Diva | Randy Rainbow""","8,560","8,812","9,376","9,646","9,803","10,316","10,538","11,044","11,148"
"Aug 1, 2012",n,randyRainbowWorksAtChickFilA.txt,youtube,3:40,jiZLFjbqDxQ,.webm,https://www.youtube.com/watch?v=jiZLFjbqDxQ,"404,008","""Randy Rainbow Works at Chick-fil-A""","384,517","386,406","390,863","392,629","393,361","396,593","397,793","400,803","401,921"
"Jul 15, 2012",n,highSchoolMusical.txt,youtube,5:22,JO571wGDucE,.webm,https://www.youtube.com/watch?v=JO571wGDucE,"42,973","""High School Musical Starring Randy Rainbow""","36,805","37,503","38,712","39,332","39,656","40,680","41,006","41,822","42,103"
"July 5, 2012",n,tomCruiseAndersonCooperSpeedDate.txt,youtube,5:27,G-R7qRPiHtE,.mp4,https://www.youtube.com/watch?v=G-R7qRPiHtE,"51,208","""Tom Cruise and Anderson Cooper Speed Date""","47,428","47,784","48,482","48,844","49,008","49,660","49,891","50,416","50,594"
"May 13, 2012",n,johnTravoltaHarassesRandy.txt,youtube,4:18,jdMuwTRofR0,.webm,https://www.youtube.com/watch?v=jdMuwTRofR0,"36,460","""John Travolta Harasses Randy Rainbow""","33,455","33,768","34,341","34,698","34,861","35,393","35,554","35,970","36,115"
"Mar 11, 2012",n,kirkCameronDatingRandy.txt,youtube,4:53,_la4rrc_53c,.mkv,https://www.youtube.com/watch?v=_la4rrc_53c,"55,413","""Kirk Cameron is Dating Randy Rainbow""","54,033","54,164","54,415","54,569","54,634","54,901","54,982","55,197","55,268"
"Feb 13, 2012",n,mittRomneyKissMe.txt,youtube,4:30,Or2jsyGBxrg,.mkv,https://www.youtube.com/watch?v=Or2jsyGBxrg,"17,114","""Mitt Romney, Kiss Me!""","16,331","16,400","16,531","16,616","16,666","16,804","16,847","16,963","17,009"
