Date_str,song_parody,transcript,transcript source,vid length (min),video_id,video_type,video_link,2019-02-19,2019-01-28,video_title,2018-01-15,2018-01-29,2018-02-21,2018-03-09,2018-03-17,2018-04-20,2018-05-07,2018-06-08,2018-06-21,2018-07-16,2018-08-21,2018-08-27,2018-09-24,2018-10-15,2018-11-05,2018-12-05,2019-01-14,,RemovedFromYoutube
"Jan 24, 2017",y,alternativeFacts.txt,youtube,3:35,OdV_8TGswRA,.webm,https://www.youtube.com/watch?v=OdV_8TGswRA,"725,362","717,177","""ALTERNATIVE FACTS""","617,119","619,749","625,004","627,872","629,242","634,238","636,223","640,127","641,775","645,283","658,463","664,179","686,807","694,007","699,809","704,766","713,122",,
"Jan 17, 2017",y,randyRainbowInterviewsJenniferHolliday.txt,youtube,2:58,IMBwyVGUFls,.mkv,https://www.youtube.com/watch?v=IMBwyVGUFls,"90,049","88,921","""Randy Rainbow Interviews Jennifer Holliday""","76,385","76,836","77,562","78,000","78,244","79,095","79,423","80,159","80,379","80,677","82,024","82,313","84,010","84,925","86,146","86,942","88,364",,
"Jan 11, 2017",y,tweetsTweetsNothingButTweets.txt,youtube,3:11,qEVtRrcg3dg,.mkv,https://www.youtube.com/watch?v=qEVtRrcg3dg,"334,466","318,487","""TWEETS, TWEETS & NOTHING BUT TWEETS""","258,528","259,456","261,830","263,101","263,629","265,595","266,196","267,495","268,045","269,412","274,201","275,566","282,970","287,002","294,852","301,101","312,906",,
"Jan 9, 2017",n,exitInterviewsBarackObama.txt,youtube,4:02,NEel6Ng2e-0,.webm,https://www.youtube.com/watch?v=NEel6Ng2e-0,"338,927","329,792","""Randy Rainbow Exit-Interviews Barack Obama""","239,524","244,618","252,465","256,143","259,211","266,593","268,231","273,659","274,883","277,443","286,195","287,885","299,949","305,287","311,890","317,453","326,705",,
"Dec 14, 2016",n,interviewsDonaldTrumpPart3.txt,youtube,4:10,5e3FuzTPFT0,.mkv,https://www.youtube.com/watch?v=5e3FuzTPFT0,"216,915","213,831","""Randy Rainbow Interviews Donald Trump: PART THREE""","164,050","165,317","167,871","169,071","169,674","172,118","173,114","175,351","175,947","176,785","185,386","187,453","197,335","200,971","204,237","207,628","212,331",,
"Nov 22, 2016",y,donaldTrumpGrowUp.txt,youtube,4:18,5Gxp6gzKvXk,.mkv,https://www.youtube.com/watch?v=5Gxp6gzKvXk,"377,942","363,443","""Donald Trump, Grow Up! - Randy Rainbow HAMILTON Song Parody""","246,664","248,609","256,726","260,226","261,507","266,428","267,871","270,830","272,100","275,470","289,406","295,601","324,068","333,492","340,776","346,797","360,166",,
"Nov 16, 2016",n,interviewsNewFirstFamily.txt,youtube,3:59,o5harjyjggI,.webm,https://www.youtube.com/watch?v=o5harjyjggI,"285,223","279,964","""Randy Rainbow Interviews the New First Family!""","205,302","209,292","216,402","220,183","222,948","230,398","232,315","236,940","238,106","240,959","249,627","251,288","261,258","266,148","270,064","272,712","277,796",,
"Nov 10, 2016",y,none,none,2:55,uc87elr2Ohs,.mkv,https://www.youtube.com/watch?v=uc87elr2Ohs,"100,783","99,087","""HILLARY WINS!?!? - RANDY RAINBOW'S AMERICAN DREAM (Musical)""","79,248","79,861","81,149","81,871","82,217","83,480","83,922","85,000","85,376","86,247","89,423","89,832","92,710","94,109","95,619","96,745","98,386",,
"Nov 6, 2016",y,none,none,2:51,G19s4OmvFw8,.mkv,https://www.youtube.com/watch?v=G19s4OmvFw8,"140,761","130,640","""TRUMP-PENCE, TRUMP-PENCE""","98,698","99,574","101,597","102,600","103,002","104,288","104,644","105,585","105,944","106,890","110,744","112,122","120,562","122,919","125,168","126,920","129,325",,
"Oct 24, 2016",y,nastyWoman.txt,youtube,3:38,WC7u_IKEWwA,.webm,https://www.youtube.com/watch?v=WC7u_IKEWwA,"329,621","322,445","""THE NASTY WOMAN""","261,625","262,960","266,289","267,953","268,583","270,949","271,720","273,658","274,387","276,491","284,813","287,381","297,179","301,256","305,129","308,742","319,560",,
"Oct 18, 2016",n,interviewsMelaniaTrump.txt,youtube,3:45,oYagr8TdBl0,.mkv,https://www.youtube.com/watch?v=oYagr8TdBl0,"1,025,784","1,016,057","""RANDY RAINBOW Interviews MELANIA TRUMP!""","754,213","766,797","790,214","797,357","799,870","808,197","811,011","818,085","820,623","832,073","881,203","892,357","953,253","971,788","983,645","992,068","1,010,211",,
"Oct 10, 2016",y,grabEmBy.txt,youtube,2:14,1jp-PK1TihE,.webm,https://www.youtube.com/watch?v=1jp-PK1TihE,"277,464","263,919","""GRAB 'EM BY THE P***Y! (Censored)""","220,307","221,346","223,763","224,970","225,398","227,313","227,966","229,717","230,301","231,915","237,330","239,476","250,220","253,568","256,522","258,670","262,372",,
"Oct 6, 2016",n,randyRainbowModerates2016VPdebate.txt,youtube,4:03,xGA5O49T_qE,.mkv,https://www.youtube.com/watch?v=xGA5O49T_qE,"105,851","104,593","""RANDY RAINBOW Moderates the 2016 VP DEBATE""","91,104","91,538","92,462","92,925","93,155","94,104","94,378","95,080","95,326","95,653","96,617","96,958","99,306","100,379","101,562","102,362","103,902",,
"Sep 28, 2016",y,braggadocious.txt,youtube,2:57,ldfF6chin5s,.mkv,https://www.youtube.com/watch?v=ldfF6chin5s,"1,052,401","1,045,705","""BRAGGADOCIOUS!: Randy Rainbow Moderates Debate #1""","927,568","935,816","942,104","944,969","946,285","951,855","953,934","959,023","960,988","966,791","980,909","989,804","1,012,060","1,019,556","1,026,630","1,032,203","1,041,932",,
"Sep 20, 2016",n,interviewsTrumpCampaign.txt,youtube,2:53,fkIDDl1u53g,.webm,https://www.youtube.com/watch?v=fkIDDl1u53g,"267,863","265,946","""RANDY RAINBOW Interviews Trump Campaign Manager KELLYANNE CONWAY""","240,786","241,824","244,357","245,546","246,225","248,831","249,977","252,490","253,048","253,727","255,628","256,302","259,632","260,890","262,080","263,018","265,031",,
"Sep 9, 2016",n,interviewsGaryJohnson.txt,youtube,2:18,iYSQH8SFHDY,.mkv,https://www.youtube.com/watch?v=iYSQH8SFHDY,"99,889","99,099","""Randy Rainbow Interviews Gary Johnson #WhatIsAleppo""","86,063","86,362","87,090","87,523","87,701","88,491","88,774","89,546","89,748","89,994","90,904","91,105","92,511","93,251","94,028","97,814","98,704",,
"Sep 3, 2016",n,interviewsLatinosForTump.txt,youtube,2:36,8CtrLnBxeNY,.webm,https://www.youtube.com/watch?v=8CtrLnBxeNY,"122,121","120,653","""RANDY RAINBOW Interviews LATINOS FOR TRUMP""","100,453","101,312","102,880","103,767","104,168","105,819","106,414","108,071","108,509","108,869","110,114","110,624","114,582","116,018","117,359","118,247","119,876",,
"Aug 19, 2016",n,interviewsTrumpsAttorney.txt,youtube,2:43,JjTqyNe0C1w,.mkv,https://www.youtube.com/watch?v=JjTqyNe0C1w,"159,438","155,619","""Randy Rainbow Interviews Donald Trump's Attorney #SaysWho""","92,667","93,591","95,775","96,970","97,547","105,972","115,259","131,448","132,844","134,704","139,968","141,240","146,058","148,095","150,080","151,460","154,334",,
"Aug 2, 2016",n,interviewsDonaldTrumpPart2.txt,youtube,2:37,q81Howk0Dto,.mkv,https://www.youtube.com/watch?v=q81Howk0Dto,"166,165","165,307","""Randy Rainbow Interviews DONALD TRUMP: Part II""","148,006","148,767","150,134","150,762","151,105","152,389","152,977","154,083","154,406","154,890","156,754","157,098","159,053","159,740","162,455","163,509","164,804",,
"Jul 28, 2016",n,interviewsHillaryClintonTimKaine.txt,youtube,3:11,u1XjA0X2uRU,.mkv,https://www.youtube.com/watch?v=u1XjA0X2uRU,"101,215","100,110","""Randy Rainbow Interviews HILLARY CLINTON & TIM KAINE""","82,555","83,038","84,009","84,453","84,645","85,668","86,123","87,115","87,378","87,870","89,483","89,754","91,975","92,753","93,735","97,592","99,580",,
"Jul 21, 2016",y,yaGotTrumpTrouble.txt,youtube,3:44,5_k1L7IHYx0,.mkv,https://www.youtube.com/watch?v=5_k1L7IHYx0,"28,533","28,446","""Ya Got Trump Trouble!""","8,475","10,886","15,358","17,607","18,714","22,779","24,124","26,861","27,669","27,849","27,963","27,986","28,092","28,172","28,227","28,264","28,342",,
"Jun 7, 2016",y,sorryYoureNotHamilton.txt,youtube,3:27,S10DtYaIg0g,.webm,https://www.youtube.com/watch?v=S10DtYaIg0g,"219,366","214,466","""SORRY, YOU'RE NOT HAMILTON""","148,232","151,610","157,648","160,611","163,546","172,901","174,801","178,670","179,970","181,939","188,915","190,223","197,478","201,096","204,562","208,464","212,682",,
"May 19, 2016",n,randyRainbowInterviewsDonaldTrump.txt,youtube,2:32,8Dw3DXBeKIM,.mkv,https://www.youtube.com/watch?v=8Dw3DXBeKIM,"188,405","186,901","""Randy Rainbow Interviews Donald Trump""","166,204","167,043","168,754","169,530","169,924","171,545","172,263","173,772","174,152","174,667","176,876","177,390","180,167","181,358","182,744","183,879","186,024",,
"May 5, 2016",y,tedCruzGOPdropout.txt,youtube,3:34,vdB9nTe4ldE,.mkv,https://www.youtube.com/watch?v=vdB9nTe4ldE,"108,662","105,202","""TED CRUZ GOP DROPOUT""","71,113","71,482","72,433","73,142","73,419","74,309","74,524","75,118","75,363","76,014","77,924","83,341","88,691","91,263","95,037","97,583","101,567",,
"May 5, 2016",y,johnKasichGOPdropout.txt,youtube,3:18,0-XDpLkLNRk,.mkv,https://www.youtube.com/watch?v=0-XDpLkLNRk,"36,992","36,392","""JOHN KASICH GOP DROPOUT""","28,523","28,755","29,328","29,737","29,877","30,324","30,456","30,793","30,950","31,232","32,116","32,343","33,670","34,218","34,793","35,287","36,055",,
"Apr 29, 2016",y,carlyFiorinaDuet.txt,youtube,2:43,rsWEd-phvyw,.webm,https://www.youtube.com/watch?v=rsWEd-phvyw,"56,280","55,583","""RANDY RAINBOW & CARLY FIORINA DUET: Just in Love (with TED CRUZ)""","47,820","48,023","48,458","48,738","48,844","49,374","49,537","49,927","50,042","50,332","51,234","51,377","52,619","53,371","54,062","54,471","55,212",,
"Apr 24, 2016",n,randyRainbowInterviewsBarbaraStreisand.txt,youtube,3:47,vRvsNj1tGQs,.mkv,https://www.youtube.com/watch?v=vRvsNj1tGQs,"123,425","120,902","""Randy Rainbow Interviews Barbra Streisand""","81,567","83,448","87,408","89,067","90,078","93,282","94,521","96,626","97,205","98,301","102,640","103,489","108,878","113,225","115,545","117,364","119,898",,
"Mar 16, 2016",y,marcoRubioGOPdropout.txt,youtube,3:21,KmGuIssaeEg,.mkv,https://www.youtube.com/watch?v=KmGuIssaeEg,"77,000","76,265","""Marco Rubio: GOP DROPOUT""","64,575","64,911","65,687","66,282","66,494","67,051","67,221","67,693","67,936","68,392","70,110","70,462","72,711","73,523","74,293","74,983","75,873",,
"Mar 4, 2016",y,benCarsonGOPdropout.txt,youtube,3:16,KMQgdOLylXo,.mkv,https://www.youtube.com/watch?v=KMQgdOLylXo,"71,052","69,060","""Ben Carson: GOP DROPOUT""","41,367","41,723","42,516","43,096","43,317","44,266","44,592","45,401","45,774","46,562","49,636","50,647","57,923","60,611","63,200","64,823","67,423",,
"Feb 22, 2016",y,jobBushGOPdropout.txt,youtube,3:17,7BntyhRqBAA,.mkv,https://www.youtube.com/watch?v=7BntyhRqBAA,"68,714","66,892","""Jeb Bush GOP DROPOUT""","51,194","51,511","52,242","52,772","52,938","53,387","53,531","53,982","54,235","54,648","55,914","56,234","58,199","59,514","61,559","62,833","65,042",,
"Feb 12, 2016",y,carlyFiorinaGOPdropout.txt,youtube,3:12,jmssam01R2M,.mkv,https://www.youtube.com/watch?v=jmssam01R2M,"119,328","116,938","""Carly Fiorina GOP DROPOUT""","77,885","79,462","82,983","84,673","85,379","88,422","89,382","91,674","92,376","93,368","96,792","97,944","105,380","108,147","110,637","112,303","115,028",,
"Jan 18, 2016",y,none,none,2:19,jDxSg1fSrws,.mkv,https://www.youtube.com/watch?v=jDxSg1fSrws,"210,507","207,576","""Randy Rainbow Performs at a Donald Trump Rally""","147,033","149,309","153,051","154,932","155,879","159,508","160,877","164,657","165,636","167,522","178,456","179,912","194,548","198,445","201,420","203,185","206,376",,
"Dec 24, 2015",n,merryJewishChristmas.txt,youtube,1:31,TK4PRgXXm9U,.mkv,https://www.youtube.com/watch?v=TK4PRgXXm9U,"17,450","16,988","""Merry Jewish Christmas""","12,135","12,281","12,546","12,685","12,747","12,955","13,026","13,196","13,304","13,452","13,913","13,987","14,628","14,994","15,394","15,891","16,718",,
"Oct 21, 2015",n,trickOrTreatsKimDavis.txt,youtube,3:54,BgwRl_T1aP8,.mkv,https://www.youtube.com/watch?v=BgwRl_T1aP8,"57,965","56,662","""Randy Rainbow Trick-or-Treats Kim Davis""","42,254","42,576","43,427","43,854","43,999","44,629","44,818","45,267","45,484","46,050","48,012","48,545","51,297","52,596","54,068","55,032","56,200",,
"Sep 7, 2015",y,kimDavisCellBlockTango.txt,youtube,3:31,14C3TZg6NQM,.mkv,https://www.youtube.com/watch?v=14C3TZg6NQM,"553,290","543,850","""The KIM DAVIS Cell Block Tango - Randy Rainbow""","473,455","475,325","480,516","482,949","483,774","487,139","488,188","491,275","492,404","495,597","504,461","507,197","519,524","524,157","529,041","535,304","541,335",,
