Date_str,song_parody,transcript,transcript source,vid length (min),video_id,video_type,video_link,2020-01-20,2019-11-22,video_title,2018-01-15,2018-01-29,2018-02-21,2018-03-09,2018-03-17,2018-04-20,2018-05-07,2018-06-08,2018-06-21,2018-07-16,2018-08-21,2018-08-27,2018-09-24,2018-10-15,2018-11-05,2018-12-05,2019-01-14,2019-01-28,2019-02-19,2019-03-06,2019-03-28,2019-04-02,2019-04-29,2019-05-28,2019-07-22,2019-08-29,2019-10-17,,RemovedFromYoutube
"May 15, 2017",y,none,none,4:23,V2OuJYaz_oE,.webm,https://www.youtube.com/watch?v=V2OuJYaz_oE,"451,198","441,557","""THE RUSSIAN CONNECTION""","207,970","210,420","215,341","218,148","219,628","225,372","227,241","231,021","232,220","235,691","248,852","251,041","265,519","273,339","281,768","291,568","312,230","322,446","350,580","371,776","381,797","382,941","387,104","391,776","401,051","414,772","433,001",,
"May 1, 2017",y,unpopular.txt,youtube,4:33,TPg0BWvhMkA,.mkv,https://www.youtube.com/watch?v=TPg0BWvhMkA,"746,527","729,518","""UNPOPULAR!""","382,746","390,150","403,774","409,976","413,328","425,597","429,847","438,532","441,599","449,450","471,755","475,902","502,653","522,520","536,634","547,985","564,336","572,327","592,889","604,925","615,153","616,524","624,146","630,922","650,931","678,933","711,494",,
"Apr 21, 2017",y,justMyBill.txt,youtube,3:11,_H48C_xf8HE,.webm,https://www.youtube.com/watch?v=_H48C_xf8HE,"216,912","213,195","""JUST MY BILL (O'Reilly)""","123,408","125,675","130,112","131,990","132,800","135,983","137,053","139,650","140,397","141,504","149,359","152,030","163,495","166,841","170,640","173,613","177,398","179,123","183,314","186,087","188,861","189,278","190,848","192,321","196,458","202,079","209,954",,
"Apr 6, 2017",n,randyRainbowInterviewsIvankaTrump.txt,youtube,3:18,LPQYAT3wH_g,.webm,https://www.youtube.com/watch?v=LPQYAT3wH_g,"749,911","726,526","""Randy Rainbow Interviews Ivanka Trump""","212,721","220,275","233,385","241,381","249,893","267,457","270,162","281,296","283,839","289,927","317,368","322,628","352,321","365,829","383,893","399,969","432,435","438,662","458,152","474,171","502,997","505,159","509,866","514,900","535,886","601,284","683,964",,
"Mar 19, 2017",y,killTheRelease.txt,youtube,2:30,ji5nOTjlVuA,.mkv,https://www.youtube.com/watch?v=ji5nOTjlVuA,"195,198","189,078","""KILL THE RELEASE!""","101,007","102,292","105,325","106,761","107,349","109,699","110,538","112,365","113,417","114,927","119,579","120,821","127,107","130,306","134,692","138,118","142,906","146,420","151,430","154,246","157,668","158,173","160,767","165,171","173,345","179,046","185,682",,
"Mar 15, 2017",y,microwaves.txt,youtube,3:40,Ub5GkBtIjhc,.webm,https://www.youtube.com/watch?v=Ub5GkBtIjhc,"463,430","454,761","""MICROWAVES (Are Watching You!)""","280,154","284,506","292,029","295,737","297,628","304,872","307,250","313,442","315,279","319,129","331,952","334,279","346,878","351,993","358,118","363,522","371,762","375,648","382,814","387,399","392,387","393,233","396,612","399,996","410,587","424,841","447,111",,
"Mar 6, 2017",y,putinAndTheRitz.txt,youtube,3:14,dReOdQmt-Qk,.mkv,https://www.youtube.com/watch?v=dReOdQmt-Qk,"557,355","546,892","""PUTIN AND THE RITZ""","293,417","297,996","306,990","311,869","314,438","323,069","325,901","332,922","335,011","340,203","375,821","380,193","398,314","403,602","408,972","414,511","429,393","437,294","454,998","461,205","467,058","468,117","472,155","477,969","493,703","511,652","534,652",,
"Feb 22, 2017",y,yourMakingThingsUpAgain.txt,youtube,3:52,yf0CKA0zN0g,.webm,https://www.youtube.com/watch?v=yf0CKA0zN0g,"613,115","604,992","""You're Making Things Up Again, Donald!""","330,348","341,614","362,611","371,889","377,127","394,676","397,691","401,024","402,425","406,811","429,402","436,336","461,703","470,459","478,898","488,213","503,253","509,028","524,763","530,306","535,769","536,663","540,522","545,751","558,470","576,875","597,183",,
"Feb 6, 2017",y,factChecker.txt,youtube,3:39,NLaYDmJYE8k,.mkv,https://www.youtube.com/watch?v=NLaYDmJYE8k,"685,885","675,485","""FACT-CHECKER, FACT-CHECKER""","438,284","439,903","444,511","446,727","447,650","451,232","452,472","455,126","456,219","459,284","472,540","477,846","501,983","511,585","521,038","529,523","543,442","551,233","568,435","576,272","582,211","583,320","587,854","593,890","608,661","637,912","665,919",,
"Jan 24, 2017",y,alternativeFacts.txt,youtube,3:35,OdV_8TGswRA,.webm,https://www.youtube.com/watch?v=OdV_8TGswRA,"819,948","810,007","""ALTERNATIVE FACTS""","617,119","619,749","625,004","627,872","629,242","634,238","636,223","640,127","641,775","645,283","658,463","664,179","686,807","694,007","699,809","704,766","713,122","717,177","725,362","730,637","736,347","737,197","741,138","745,897","759,091","783,115","801,084",,
"Jan 17, 2017",y,randyRainbowInterviewsJenniferHolliday.txt,youtube,2:58,IMBwyVGUFls,.mkv,https://www.youtube.com/watch?v=IMBwyVGUFls,"102,005","100,595","""Randy Rainbow Interviews Jennifer Holliday""","76,385","76,836","77,562","78,000","78,244","79,095","79,423","80,159","80,379","80,677","82,024","82,313","84,010","84,925","86,146","86,942","88,364","88,921","90,049","90,833","91,589","91,726","92,357","92,951","94,810","96,926","99,375",,
"Jan 11, 2017",y,tweetsTweetsNothingButTweets.txt,youtube,3:11,qEVtRrcg3dg,.mkv,https://www.youtube.com/watch?v=qEVtRrcg3dg,"427,367","420,208","""TWEETS, TWEETS & NOTHING BUT TWEETS""","258,528","259,456","261,830","263,101","263,629","265,595","266,196","267,495","268,045","269,412","274,201","275,566","282,970","287,002","294,852","301,101","312,906","318,487","334,466","339,640","349,028","351,120","357,150","361,571","371,455","391,342","412,405",,
"Jan 9, 2017",n,exitInterviewsBarackObama.txt,youtube,4:02,NEel6Ng2e-0,.webm,https://www.youtube.com/watch?v=NEel6Ng2e-0,"426,950","419,771","""Randy Rainbow Exit-Interviews Barack Obama""","239,524","244,618","252,465","256,143","259,211","266,593","268,231","273,659","274,883","277,443","286,195","287,885","299,949","305,287","311,890","317,453","326,705","329,792","338,927","346,209","350,123","350,898","353,898","356,809","366,217","385,254","413,204",,
