Date_str,song_parody,transcript,transcript source,vid length (min),video_id,video_type,video_link,2019-04-29,2019-04-02,video_title,2018-01-15,2018-01-29,2018-02-21,2018-03-09,2018-03-17,2018-04-20,2018-05-07,2018-06-08,2018-06-21,2018-07-16,2018-08-21,2018-08-27,2018-09-24,2018-10-15,2018-11-05,2018-12-05,2019-01-14,2019-01-28,2019-02-19,2019-03-06,2019-03-28,,RemovedFromYoutube
"Apr 21, 2017",y,justMyBill.txt,youtube,3:11,_H48C_xf8HE,.webm,https://www.youtube.com/watch?v=_H48C_xf8HE,"190,848","189,278","""JUST MY BILL (O'Reilly)""","123,408","125,675","130,112","131,990","132,800","135,983","137,053","139,650","140,397","141,504","149,359","152,030","163,495","166,841","170,640","173,613","177,398","179,123","183,314","186,087","188,861",,
"Apr 6, 2017",n,randyRainbowInterviewsIvankaTrump.txt,youtube,3:18,LPQYAT3wH_g,.webm,https://www.youtube.com/watch?v=LPQYAT3wH_g,"509,866","505,159","""Randy Rainbow Interviews Ivanka Trump""","212,721","220,275","233,385","241,381","249,893","267,457","270,162","281,296","283,839","289,927","317,368","322,628","352,321","365,829","383,893","399,969","432,435","438,662","458,152","474,171","502,997",,
"Mar 19, 2017",y,killTheRelease.txt,youtube,2:30,ji5nOTjlVuA,.mkv,https://www.youtube.com/watch?v=ji5nOTjlVuA,"160,767","158,173","""KILL THE RELEASE!""","101,007","102,292","105,325","106,761","107,349","109,699","110,538","112,365","113,417","114,927","119,579","120,821","127,107","130,306","134,692","138,118","142,906","146,420","151,430","154,246","157,668",,
"Mar 15, 2017",y,microwaves.txt,youtube,3:40,Ub5GkBtIjhc,.webm,https://www.youtube.com/watch?v=Ub5GkBtIjhc,"396,612","393,233","""MICROWAVES (Are Watching You!)""","280,154","284,506","292,029","295,737","297,628","304,872","307,250","313,442","315,279","319,129","331,952","334,279","346,878","351,993","358,118","363,522","371,762","375,648","382,814","387,399","392,387",,
"Mar 6, 2017",y,putinAndTheRitz.txt,youtube,3:14,dReOdQmt-Qk,.mkv,https://www.youtube.com/watch?v=dReOdQmt-Qk,"472,155","468,117","""PUTIN AND THE RITZ""","293,417","297,996","306,990","311,869","314,438","323,069","325,901","332,922","335,011","340,203","375,821","380,193","398,314","403,602","408,972","414,511","429,393","437,294","454,998","461,205","467,058",,
"Feb 22, 2017",y,yourMakingThingsUpAgain.txt,youtube,3:52,yf0CKA0zN0g,.webm,https://www.youtube.com/watch?v=yf0CKA0zN0g,"540,522","536,663","""You're Making Things Up Again, Donald!""","330,348","341,614","362,611","371,889","377,127","394,676","397,691","401,024","402,425","406,811","429,402","436,336","461,703","470,459","478,898","488,213","503,253","509,028","524,763","530,306","535,769",,
"Feb 6, 2017",y,factChecker.txt,youtube,3:39,NLaYDmJYE8k,.mkv,https://www.youtube.com/watch?v=NLaYDmJYE8k,"587,854","583,320","""FACT-CHECKER, FACT-CHECKER""","438,284","439,903","444,511","446,727","447,650","451,232","452,472","455,126","456,219","459,284","472,540","477,846","501,983","511,585","521,038","529,523","543,442","551,233","568,435","576,272","582,211",,
"Jan 24, 2017",y,alternativeFacts.txt,youtube,3:35,OdV_8TGswRA,.webm,https://www.youtube.com/watch?v=OdV_8TGswRA,"741,138","737,197","""ALTERNATIVE FACTS""","617,119","619,749","625,004","627,872","629,242","634,238","636,223","640,127","641,775","645,283","658,463","664,179","686,807","694,007","699,809","704,766","713,122","717,177","725,362","730,637","736,347",,
"Jan 17, 2017",y,randyRainbowInterviewsJenniferHolliday.txt,youtube,2:58,IMBwyVGUFls,.mkv,https://www.youtube.com/watch?v=IMBwyVGUFls,"92,357","91,726","""Randy Rainbow Interviews Jennifer Holliday""","76,385","76,836","77,562","78,000","78,244","79,095","79,423","80,159","80,379","80,677","82,024","82,313","84,010","84,925","86,146","86,942","88,364","88,921","90,049","90,833","91,589",,
"Jan 11, 2017",y,tweetsTweetsNothingButTweets.txt,youtube,3:11,qEVtRrcg3dg,.mkv,https://www.youtube.com/watch?v=qEVtRrcg3dg,"357,150","351,120","""TWEETS, TWEETS & NOTHING BUT TWEETS""","258,528","259,456","261,830","263,101","263,629","265,595","266,196","267,495","268,045","269,412","274,201","275,566","282,970","287,002","294,852","301,101","312,906","318,487","334,466","339,640","349,028",,
"Jan 9, 2017",n,exitInterviewsBarackObama.txt,youtube,4:02,NEel6Ng2e-0,.webm,https://www.youtube.com/watch?v=NEel6Ng2e-0,"353,898","350,898","""Randy Rainbow Exit-Interviews Barack Obama""","239,524","244,618","252,465","256,143","259,211","266,593","268,231","273,659","274,883","277,443","286,195","287,885","299,949","305,287","311,890","317,453","326,705","329,792","338,927","346,209","350,123",,
"Dec 14, 2016",n,interviewsDonaldTrumpPart3.txt,youtube,4:10,5e3FuzTPFT0,.mkv,https://www.youtube.com/watch?v=5e3FuzTPFT0,"224,935","223,235","""Randy Rainbow Interviews Donald Trump: PART THREE""","164,050","165,317","167,871","169,071","169,674","172,118","173,114","175,351","175,947","176,785","185,386","187,453","197,335","200,971","204,237","207,628","212,331","213,831","216,915","220,157","222,785",,
"Nov 22, 2016",y,donaldTrumpGrowUp.txt,youtube,4:18,5Gxp6gzKvXk,.mkv,https://www.youtube.com/watch?v=5Gxp6gzKvXk,"393,907","390,018","""Donald Trump, Grow Up! - Randy Rainbow HAMILTON Song Parody""","246,664","248,609","256,726","260,226","261,507","266,428","267,871","270,830","272,100","275,470","289,406","295,601","324,068","333,492","340,776","346,797","360,166","363,443","377,942","382,988","388,694",,
"Nov 16, 2016",n,interviewsNewFirstFamily.txt,youtube,3:59,o5harjyjggI,.webm,https://www.youtube.com/watch?v=o5harjyjggI,"294,631","292,663","""Randy Rainbow Interviews the New First Family!""","205,302","209,292","216,402","220,183","222,948","230,398","232,315","236,940","238,106","240,959","249,627","251,288","261,258","266,148","270,064","272,712","277,796","279,964","285,223","288,480","292,238",,
"Nov 10, 2016",y,none,none,2:55,uc87elr2Ohs,.mkv,https://www.youtube.com/watch?v=uc87elr2Ohs,"104,086","103,248","""HILLARY WINS!?!? - RANDY RAINBOW'S AMERICAN DREAM (Musical)""","79,248","79,861","81,149","81,871","82,217","83,480","83,922","85,000","85,376","86,247","89,423","89,832","92,710","94,109","95,619","96,745","98,386","99,087","100,783","101,839","103,041",,
"Nov 6, 2016",y,none,none,2:51,G19s4OmvFw8,.mkv,https://www.youtube.com/watch?v=G19s4OmvFw8,"146,857","145,359","""TRUMP-PENCE, TRUMP-PENCE""","98,698","99,574","101,597","102,600","103,002","104,288","104,644","105,585","105,944","106,890","110,744","112,122","120,562","122,919","125,168","126,920","129,325","130,640","140,761","143,153","145,082",,
"Oct 24, 2016",y,nastyWoman.txt,youtube,3:38,WC7u_IKEWwA,.webm,https://www.youtube.com/watch?v=WC7u_IKEWwA,"344,768","341,388","""THE NASTY WOMAN""","261,625","262,960","266,289","267,953","268,583","270,949","271,720","273,658","274,387","276,491","284,813","287,381","297,179","301,256","305,129","308,742","319,560","322,445","329,621","333,341","340,003",,
"Oct 18, 2016",n,interviewsMelaniaTrump.txt,youtube,3:45,oYagr8TdBl0,.mkv,https://www.youtube.com/watch?v=oYagr8TdBl0,"1,046,071","1,041,475","""RANDY RAINBOW Interviews MELANIA TRUMP!""","754,213","766,797","790,214","797,357","799,870","808,197","811,011","818,085","820,623","832,073","881,203","892,357","953,253","971,788","983,645","992,068","1,010,211","1,016,057","1,025,784","1,031,379","1,040,262",,
"Oct 10, 2016",y,grabEmBy.txt,youtube,2:14,1jp-PK1TihE,.webm,https://www.youtube.com/watch?v=1jp-PK1TihE,"286,077","284,031","""GRAB 'EM BY THE P***Y! (Censored)""","220,307","221,346","223,763","224,970","225,398","227,313","227,966","229,717","230,301","231,915","237,330","239,476","250,220","253,568","256,522","258,670","262,372","263,919","277,464","280,699","283,615",,
"Oct 6, 2016",n,randyRainbowModerates2016VPdebate.txt,youtube,4:03,xGA5O49T_qE,.mkv,https://www.youtube.com/watch?v=xGA5O49T_qE,"108,377","107,796","""RANDY RAINBOW Moderates the 2016 VP DEBATE""","91,104","91,538","92,462","92,925","93,155","94,104","94,378","95,080","95,326","95,653","96,617","96,958","99,306","100,379","101,562","102,362","103,902","104,593","105,851","106,869","107,674",,
"Sep 28, 2016",y,braggadocious.txt,youtube,2:57,ldfF6chin5s,.mkv,https://www.youtube.com/watch?v=ldfF6chin5s,"1,064,687","1,061,394","""BRAGGADOCIOUS!: Randy Rainbow Moderates Debate #1""","927,568","935,816","942,104","944,969","946,285","951,855","953,934","959,023","960,988","966,791","980,909","989,804","1,012,060","1,019,556","1,026,630","1,032,203","1,041,932","1,045,705","1,052,401","1,056,161","1,060,720",,
"Sep 20, 2016",n,interviewsTrumpCampaign.txt,youtube,2:53,fkIDDl1u53g,.webm,https://www.youtube.com/watch?v=fkIDDl1u53g,"271,500","270,594","""RANDY RAINBOW Interviews Trump Campaign Manager KELLYANNE CONWAY""","240,786","241,824","244,357","245,546","246,225","248,831","249,977","252,490","253,048","253,727","255,628","256,302","259,632","260,890","262,080","263,018","265,031","265,946","267,863","269,088","270,380",,
