Date_str,song_parody,transcript,transcript source,video_link,vid length (min),views_as_of_Feb-21-18,video_title
"Aug 30, 2013",n,behindTheTiara.txt,youtube,https://www.youtube.com/watch?v=sYTzq70TsFo,5:50,"8,358","""Behind the Tiara - Randy Rainbow and Ivy Profen"""
"Aug 1, 2013",n,anthonyWeinerDatingRandy.txt,youtube,https://www.youtube.com/watch?v=3BBiN98XVvE,4:02,"53,966","""Anthony Weiner is Dating Randy Rainbow"""
"Jan 26, 2013",n,newRandyRainbowShow.txt,youtube,https://www.youtube.com/watch?v=J_JkjjdgaWA,1:28,"4,129","""NEW RANDY RAINBOW SHOW!"""
"Dec 17, 2012",y,susanBoyleAwkwardDiva.txt,youtube,https://www.youtube.com/watch?v=XcjBQrb202o,1:35,"9,376","""Susan Boyle the Awkward Diva | Randy Rainbow"""
"Aug 1, 2012",n,randyRainbowWorksAtChickFilA.txt,youtube,https://www.youtube.com/watch?v=jiZLFjbqDxQ,3:40,"390,863","""Randy Rainbow Works at Chick-fil-A"""
"Jul 15, 2012",n,highSchoolMusical.txt,youtube,https://www.youtube.com/watch?v=JO571wGDucE,5:22,"38,712","""High School Musical Starring Randy Rainbow"""
"Jul 5, 2012",n,tomCruiseAndersonCooperSpeedDate.txt,youtube,https://www.youtube.com/watch?v=G-R7qRPiHtE,5:27,"48,482","""Tom Cruise and Anderson Cooper Speed Date"""
"May 13, 2012",n,johnTravoltaHarassesRandy.txt,youtube,https://www.youtube.com/watch?v=jdMuwTRofR0,4:18,"34,341","""John Travolta Harasses Randy Rainbow"""
"Mar 11, 2012",n,kirkCameronDatingRandy.txt,youtube,https://www.youtube.com/watch?v=_la4rrc_53c,4:53,"54,415","""Kirk Cameron is Dating Randy Rainbow"""
"Feb 13, 2012",n,mittRomneyKissMe.txt,youtube,https://www.youtube.com/watch?v=Or2jsyGBxrg,4:30,"16,531","""Mitt Romney, Kiss Me!"""
"Dec 25, 2011",y,rickPerryRandyRainbowXmas.txt,youtube,https://www.youtube.com/watch?v=1DUYZQHeqjI,5:09,"29,177","""Rick Perry and Randy Rainbow: The XMas Album"""
"Nov 13, 2011",n,rickPerryGetsDrunkPhoneCall.txt,youtube,https://www.youtube.com/watch?v=ZQqDWuXT51w,4:43,"18,545","""Rick Perry Gets a Drunk Phone Call from Randy Rainbow"""
"Oct 30, 2011",n,beaArthurRandyHalloween.txt,youtube,https://www.youtube.com/watch?v=8kzBfEw44M4,4:08,"15,446","""Bea Arthur and Randy Rainbow's Halloween Special"""
"Oct 17, 2011",n,theFundraiser.txt,youtube,https://www.youtube.com/watch?v=YmHu2JRtRug,5:26,"7,529","""The Fundraiser"""
"Jul 24, 2011",n,marcusBachmannNotGettingMarried.txt,youtube,https://www.youtube.com/watch?v=mNlTI-P6yTY,5:12,"16,213","""Marcus Bachmann Is Not Getting Married to Randy Rainbow"""
"May 1, 2011",n,royalWedding.txt,youtube,https://www.youtube.com/watch?v=XlJWmrK7Bu8,4:52,"41,692","""Royal Wedding: The Morning After"""
"Apr 6, 2011",y,americanIdolWelcomesBack.txt,youtube,https://www.youtube.com/watch?v=uUI3OGHfk9g,5:05,"25,168","""American Idol Welcomes Back Randy Rainbow"""
"Feb 27, 2011",n,charlieSheenRandysNewBoyfriend.txt,youtube,https://www.youtube.com/watch?v=iHBqXGLsQI0,4:42,"15,990","""Charlie Sheen Is Randy Rainbow's New Boyfriend"""
"Feb 13, 2011",n,melGibsonRandySeekCounseling.txt,youtube,https://www.youtube.com/watch?v=N__uN_l4Gsc,5:40,"47,380","""Mel Gibson and Randy Rainbow Seek Counseling"""
"Jan 25, 2011",n,americanIdolAudition.txt,youtube,https://www.youtube.com/watch?v=QHoh82ZwDjw,5:05,"192,063","""American Idol Audition"""
"Jan 9, 2011",n,spiderManCastSaved.txt,youtube,https://www.youtube.com/watch?v=VChJ4SnyfdQ,5:13,"9,190","""Spider-Man Cast Saved by Randy Rainbow"""
"Dec 13, 2010",n,melGibsonSpendsChristmas.txt,youtube,https://www.youtube.com/watch?v=JLfxq7t2KX4,4:39,"11,765","""Mel Gibson Spends Christmas with Randy Rainbow"""
"Nov 18, 2010",n,kanyeWestKicksIt.txt,youtube,https://www.youtube.com/watch?v=icVRIlkn0hk,3:29,"8,732","""Kanye West Kicks It With Randy Rainbow"""
"Oct 25, 2010",n,randyRainbowStars.txt,youtube,https://www.youtube.com/watch?v=YNOzRXKzEfk,4:34,"9,725","""Randy Rainbow Stars In a Show!"""
"Oct 3, 2010",n,rachelZoeHiresRandy.txt,youtube,https://www.youtube.com/watch?v=h3qu6KgoORo,4:55,"11,141","""Rachel Zoe Hires Randy Rainbow!"""
"Sep 13, 2010",n,randyRainbowGettingMarried.txt,youtube,https://www.youtube.com/watch?v=3jkRjULDoFk,5:57,"30,634","""Randy Rainbow Getting Married?"""
"Aug 30, 2010",n,lindsayLohanGetsCallFromRandy.txt,youtube,https://www.youtube.com/watch?v=b3bP3t4u8rg,4:18,"45,668","""Lindsay Lohan Gets a Call from Randy Rainbow"""
"Aug 19, 2010",n,drLauraGetsCallFromRandy.txt,youtube,https://www.youtube.com/watch?v=h7TQRPqK6ig,3:04,"23,143","""Dr. Laura Gets a Call from Randy Rainbow"""
"Aug 1, 2010",n,chelseaClintonWedding.txt,youtube,https://www.youtube.com/watch?v=m1ifaaeii3k,3:23,"46,083","""Chelsea Clinton's Wedding: The Morning After"""
"May 27, 2010",n,none,none,https://www.youtube.com/watch?v=EW3CCkdhTic,1:24,"4,092","""American Idol Reaction"""
"May 23, 2010",n,oprahAudition.txt,youtube,https://www.youtube.com/watch?v=oJEVnkNY6Sk,5:41,"17,327","""The Oprah Audition"""
"May 2, 2010",n,previouslyOn.txt,youtube,https://www.youtube.com/watch?v=iOapmFuX6uc,3:01,"4,047","""Previously On"""
"Jan 3, 2010",n,visionBoard.txt,youtube,https://www.youtube.com/watch?v=vu_5dOXzmN8,7:05,"9,673","""Randy Rainbow's Vision Board"""
"Nov 22, 2009",n,chadKimballInterview.txt,youtube,https://www.youtube.com/watch?v=sCBzx1Nc2Rc,9:59,"5,987","""Chad Kimball of the Broadway Show Memphis Interviewed"""
"May 4, 2009",n,mirandaVoiceLessons.txt,youtube,https://www.youtube.com/watch?v=GWko3MBcGHg,7:14,"24,240","""Miranda Gives Voice Lessons to Randy Rainbow"""
