Date_str,views_as_of_Jan-15-18,views_as_of_Jan-29-18,song_parody,transcript,transcript source,video_link,vid length (min),views_as_of_May-07-18,views_as_of_April-20-18,views_as_of_March-17-18,video_title,views_as_of_Feb-21-18,views_as_of_March-9-18
"Dec 17, 2012","8,560","8,812",y,susanBoyleAwkwardDiva.txt,youtube,https://www.youtube.com/watch?v=XcjBQrb202o,1:35,"10,538","10,316","9,803","""Susan Boyle the Awkward Diva | Randy Rainbow""","9,376","9,646"
"Aug 1, 2012","384,517","386,406",n,randyRainbowWorksAtChickFilA.txt,youtube,https://www.youtube.com/watch?v=jiZLFjbqDxQ,3:40,"397,793","396,593","393,361","""Randy Rainbow Works at Chick-fil-A""","390,863","392,629"
"Jul 15, 2012","36,805","37,503",n,highSchoolMusical.txt,youtube,https://www.youtube.com/watch?v=JO571wGDucE,5:22,"41,006","40,680","39,656","""High School Musical Starring Randy Rainbow""","38,712","39,332"
"July 5, 2012","47,428","47,784",n,tomCruiseAndersonCooperSpeedDate.txt,youtube,https://www.youtube.com/watch?v=G-R7qRPiHtE,5:27,"49,891","49,660","49,008","""Tom Cruise and Anderson Cooper Speed Date""","48,482","48,844"
"May 13, 2012","33,455","33,768",n,johnTravoltaHarassesRandy.txt,youtube,https://www.youtube.com/watch?v=jdMuwTRofR0,4:18,"35,554","35,393","34,861","""John Travolta Harasses Randy Rainbow""","34,341","34,698"
"Mar 11, 2012","54,033","54,164",n,kirkCameronDatingRandy.txt,youtube,https://www.youtube.com/watch?v=_la4rrc_53c,4:53,"54,982","54,901","54,634","""Kirk Cameron is Dating Randy Rainbow""","54,415","54,569"
"Feb 13, 2012","16,331","16,400",n,mittRomneyKissMe.txt,youtube,https://www.youtube.com/watch?v=Or2jsyGBxrg,4:30,"16,847","16,804","16,666","""Mitt Romney, Kiss Me!""","16,531","16,616"
"Dec 25, 2011","27,581","28,184",y,rickPerryRandyRainbowXmas.txt,youtube,https://www.youtube.com/watch?v=1DUYZQHeqjI,5:09,"30,696","30,515","29,830","""Rick Perry and Randy Rainbow: The XMas Album""","29,177","29,640"
"November 13, 2011","18,309","18,391",n,rickPerryGetsDrunkPhoneCall.txt,youtube,https://www.youtube.com/watch?v=ZQqDWuXT51w,4:43,"18,970","18,899","18,702","""Rick Perry Gets a Drunk Phone Call from Randy Rainbow""","18,545","18,649"
"October 30, 2011","15,219","15,297",n,beaArthurRandyHalloween.txt,youtube,https://www.youtube.com/watch?v=8kzBfEw44M4,4:08,"15,766","15,711","15,566","""Bea Arthur and Randy Rainbow's Halloween Special""","15,446","15,526"
"October 17, 2011","7,444","7,478",n,theFundraiser.txt,youtube,https://www.youtube.com/watch?v=YmHu2JRtRug,5:26,"7,684","7,656","7,585","""The Fundraiser""","7,529","7,567"
"July 24, 2011","16,042","16,113",n,marcusBachmannNotGettingMarried.txt,youtube,https://www.youtube.com/watch?v=mNlTI-P6yTY,5:12,"16,503","16,458","16,325","""Marcus Bachmann Is Not Getting Married to Randy Rainbow""","16,213","16,289"
"May 1, 2011","39,350","40,088",n,royalWedding.txt,youtube,https://www.youtube.com/watch?v=XlJWmrK7Bu8,4:52,"44,366","43,935","42,795","""Royal Wedding: The Morning After""","41,692","42,455"
"Apr 6, 2011","23,396","24,011",y,americanIdolWelcomesBack.txt,youtube,https://www.youtube.com/watch?v=uUI3OGHfk9g,5:05,"27,103","26,821","25,951","""American Idol Welcomes Back Randy Rainbow""","25,168","25,665"
"Feb 27, 2011","15,752","15,837",n,charlieSheenRandysNewBoyfriend.txt,youtube,https://www.youtube.com/watch?v=iHBqXGLsQI0,4:42,"16,395","16,337","16,147","""Charlie Sheen Is Randy Rainbow's New Boyfriend""","15,990","16,085"
"Feb 13, 2011","46,245","46,702",n,melGibsonRandySeekCounseling.txt,youtube,https://www.youtube.com/watch?v=N__uN_l4Gsc,5:40,"48,818","48,587","47,925","""Mel Gibson and Randy Rainbow Seek Counseling""","47,380","47,742"
"Jan 25, 2011","175,348","180,547",n,americanIdolAudition.txt,youtube,https://www.youtube.com/watch?v=QHoh82ZwDjw,5:05,"207,739","206,026","198,915","""American Idol Audition""","192,063","196,142"
"Jan 9, 2011","9,068","9,117",n,spiderManCastSaved.txt,youtube,https://www.youtube.com/watch?v=VChJ4SnyfdQ,5:13,"9,375","9,342","9,259","""Spider-Man Cast Saved by Randy Rainbow""","9,190","9,238"
"Dec 13, 2010","11,583","11,655",n,melGibsonSpendsChristmas.txt,youtube,https://www.youtube.com/watch?v=JLfxq7t2KX4,4:39,"12,100","12,047","11,877","""Mel Gibson Spends Christmas with Randy Rainbow""","11,765","11,841"
"Nov 18, 2010","8,586","8,637",n,kanyeWestKicksIt.txt,youtube,https://www.youtube.com/watch?v=icVRIlkn0hk,3:29,"8,958","8,916","8,810","""Kanye West Kicks It With Randy Rainbow""","8,732","8,778"
"Oct 25, 2010","9,581","9,637",n,randyRainbowStars.txt,youtube,https://www.youtube.com/watch?v=YNOzRXKzEfk,4:34,"9,996","9,946","9,817","""Randy Rainbow Stars In a Show!""","9,725","9,782"
"Oct 3, 2010","11,046","11,080",n,rachelZoeHiresRandy.txt,youtube,https://www.youtube.com/watch?v=h3qu6KgoORo,4:55,"11,320","11,288","11,207","""Rachel Zoe Hires Randy Rainbow!""","11,141","11,189"
"Sep 13, 2010","30,146","30,323",n,randyRainbowGettingMarried.txt,youtube,https://www.youtube.com/watch?v=3jkRjULDoFk,5:57,"31,401","31,303","30,963","""Randy Rainbow Getting Married?""","30,634","30,864"
"August 30, 2010","45,427","45,522",n,lindsayLohanGetsCallFromRandy.txt,youtube,https://www.youtube.com/watch?v=b3bP3t4u8rg,4:18,"46,038","45,985","45,811","""Lindsay Lohan Gets a Call from Randy Rainbow""","45,668","45,756"
"August 19, 2010","22,833","22,927",n,drLauraGetsCallFromRandy.txt,youtube,https://www.youtube.com/watch?v=h7TQRPqK6ig,3:04,"23,717","23,626","23,345","""Dr. Laura Gets a Call from Randy Rainbow""","23,143","23,263"
"August 1, 2010","45,815","45,895",n,chelseaClintonWedding.txt,youtube,https://www.youtube.com/watch?v=m1ifaaeii3k,3:23,"46,589","46,539","46,400","""Chelsea Clinton's Wedding: The Morning After""","46,083","46,369"
"May 27, 2010","4,051","4,063",n,none,none,https://www.youtube.com/watch?v=EW3CCkdhTic,1:24,"4,155","4,139","4,113","""American Idol Reaction""","4,092","4,102"
"May 23, 2010","16,667","16,912",n,oprahAudition.txt,youtube,https://www.youtube.com/watch?v=oJEVnkNY6Sk,5:41,"18,238","18,104","17,666","""The Oprah Audition""","17,327","17,550"
"May 2, 2010","3,915","3,960",n,previouslyOn.txt,youtube,https://www.youtube.com/watch?v=iOapmFuX6uc,3:01,"4,273","4,231","4,133","""Previously On""","4,047","4,114"
"Jan 3, 2010","9,090","9,291",n,visionBoard.txt,youtube,https://www.youtube.com/watch?v=vu_5dOXzmN8,7:05,"10,531","10,416","10,058","""Randy Rainbow's Vision Board""","9,673","9,913"
"Nov 22, 2009","5,895","5,921",n,chadKimballInterview.txt,youtube,https://www.youtube.com/watch?v=sCBzx1Nc2Rc,9:59,"6,137","6,114","6,043","""Chad Kimball of the Broadway Show Memphis Interviewed""","5,987","6,028"
"May 4, 2009","23,480","23,731",n,mirandaVoiceLessons.txt,youtube,https://www.youtube.com/watch?v=GWko3MBcGHg,7:14,"25,169","25,070","24,633","""Miranda Gives Voice Lessons to Randy Rainbow""","24,240","24,501"
