Date Mailed,Date reported recieved,lat,lon,City,State,Zipcode ,Country,GlobalRegion,Distance From SF,USPS Sectional Center,State_2,SC_lat,SC_lon,Notes,Date Return Env Sent,Date Return Env Arrives,StickerChoice
09/22/2020,10/1/2020,51.2304,5.3110,Lommel,Limburg,3920,Belgium,Europe,5523,,,,,,,,Surprise Me
09/22/2020,9/26/2020,39.9936,-105.0897,Lafayette,CO,80026,US,NorthAmerica,942,Denver,CO,39.8317681,-104.6922579,,10/06/2020,10/14/2020,Surprise Me
09/22/2020,9/29/2020,41.6314,-72.4596,Marlborough,CT,06447,US,NorthAmerica,2451,Hartford,CT,41.789872,-72.661822,,,,Boxes
09/23/2020,9/29/2020,52.2721,4.9705,Abcoude,Utrecht,1391,Netherlands,Europe,5458,,,,,,09/30/2020,,Blue Floral
09/23/2020,9/30/2020,44.0521,-123.0868,Eugene,OR,97405,US,NorthAmerica,434,Eugene,OR,44.0505054,-123.0950506,,,,Surprise Me
09/23/2020,9/26/2020,34.0522,-118.2437,Los Angeles,CA,90049,US,NorthAmerica,347,Los Angeles,CA,33.9792191,-118.256447,,,,Boxes
09/23/2020,9/29/2020,51.4816,-3.1791,Cardiff,x,0,UK,Europe,5263,,,,,,,,Surprise Me
09/23/2020,9/29/2020,43.5528,7.0174,Cannes,France,0000,France,Europe,5987,,,,,,,,Surprise Me
09/23/2020,10/15/2020,-37.7833,144.9838,Fitzroy North,VIC,3068,Australia,EastAsia,7863,,,,,,,,Blue Floral
09/23/2020,10/1/2020,51.5974,-1.1336,Wallingford,Oxfordshire,000000,UK,Europe,5319,,,,,,10/10/2020,10/19/2020,Boxes
09/23/2020,9/30/2020,52.151,4.5282,Leiderdorp,ZH,2353,Netherlands,Europe,5452,,,,,,,,Boxes
09/23/2020,12/21/2020,6.9518,79.9133,Gonawala,"Kelaniya, Sri Lanka",11300,Sri Lanka,EastAsia,9030,,,,,,,,Red Floral
09/23/2020,,24.8347,120.9934,Zhubei City,"Hsinchu County, ",302,Taiwan,EastAsia,6470,,,,,,,,Blue Floral
09/23/2020,10/7/2020,60.1699,24.9384,Helsinki,Finland,00530,Finland,Europe,5419,,,,,,,,Boxes
09/23/2020,10/3/2020,47.3769,8.5417,Zürich,Switzerland,8045,Switzerland,Europe,5822,,,,,,10/03/2020,10/14/2020,Surprise Me
09/23/2020,,6.5392,3.3842,Shomolu,Lagos,100231,Nigeria,Africa,7802,,,,,,,,Surprise Me
09/23/2020,10/6/2020,45.7747,4.7787,Ecully,France,69130,France,Europe,5799,,,,,,,,Boxes
09/23/2020,10/13/2020,-31.7804,115.7438,Mullaloo,WA,6027,Australia,EastAsia,9162,,,,,,,,Surprise Me
09/23/2020,9/29/2020,50.4563,4.8719,Jambes ,BELGIUM,0,Belgium,Europe,5551,,,,,,,,Blue Floral
09/23/2020,9/30/2020,48.7536,8.8727,Weil der Stadt,Baden Württemberg ,71263,Germany,Europe,5755,,,,,,,10/23/2020,Surprise Me
09/23/2020,9/29/2020,52.1402,5.5842,Barneveld,-,3773,Netherlands,Europe,5481,,,,,,10/05/2020,10/23/2020,Blue Floral
09/23/2020,9/29/2020,52.3061,4.6907,Hoofddorp,Netherlands ,2133,Netherlands,Europe,5448,,,,,,,,Surprise Me
09/23/2020,10/7/2020,1.4927,103.7414,Johor Bahru,Johor,81100,Malaysia,EastAsia,8436,,,,,,,,Surprise Me
09/23/2020,9/26/2020,28.0395,-81.9498,Lakeland,FL,33803,US,NorthAmerica,2421,Manasota                      ,FL,27.403583,-82.543791,,,,Boxes
09/23/2020,,35.7915,-78.7811,Cary,NC,27513,US,NorthAmerica,2396,Raleigh,NC,35.9054651,-78.7492316,envelope was empty and no return address,09/29/2020,10/02/2020,Boxes
09/23/2020,10/11/2020,50.1562,23.1238,Lubaczów,podkarpackie,37600,Poland,Europe,6009,,,,,,11/06/2020,11/13/2020,Surprise Me
09/23/2020,9/29/2020,52.0116,4.3571,Delft,ZH,2611,Netherlands,Europe,5455,,,,,not sure when mailed,10/09/2020,10/19/2020,Boxes
09/23/2020,9/26/2020,35.2271,-80.8431,Charlotte,NC,28270,US,NorthAmerica,2297,Charlotte,NC,35.238308,-80.912452,,09/28/2020,10/01/2020,Boxes
09/23/2020,9/27/2020,46.0493,-118.3883,College Place,WA,99324,US,NorthAmerica,607,Spokane,WA,47.6274391,-117.5133288,,,,Surprise Me
09/23/2020,9/30/2020,50.2025,8.577,Oberursel,Germany,1111,Germany,Europe,5667,,,,,,11/06/2020,11/18/2020,Surprise Me
09/23/2020,,30.0131,31.2089,6th Of October,6th Of October,12556,Egypt,Africa,7452,,,,,,,,Blue Floral
09/23/2020,9/30/2020,53.5511,9.9937,Hamburg,Deutschland,20535,Germany,Europe,5517,,,,,,10/05/2020,10/21/2020,Surprise Me
09/23/2020,10/2/2020,43.6532,-79.3832,Toronto,Ontario,123456,Canada,NorthAmerica,2264,,,,,,,,Blue Floral
09/23/2020,9/28/2020,38.9072,-77.0369,Washington,DC,20024,US,NorthAmerica,2435,Washington,DC,38.9173163,-76.9954865,,,,Boxes
09/23/2020,9/26/2020,40.565,-111.839,SANDY,UT,84093,US,NorthAmerica,595,Salt Lake City,UT,40.7596198,-111.8867975,,,,Boxes
09/23/2020,9/26/2020,45.4187,-122.7872,Tigard,OR,97224,US,NorthAmerica,528,Portland,OR,45.5745309,-122.5932357,,,,Boxes
09/28/2020,10/3/2020,46.0646,-118.343,Walla Walla,WA,99362,US,NorthAmerica,609,Spokane,WA,47.6274391,-117.5133288,,,,Red Floral
09/28/2020,10/12/2020,22.3193,114.1694,hong kong,hong kong,000000,Hong Kong,EastAsia,6896,,,,,,,,Surprise Me
09/28/2020,10/3/2020,39.0997,-94.5786,Kansas City,MO,64133,US,NorthAmerica,1503,Kansas City,MO,39.100105,-94.5781416,,,,Surprise Me
09/28/2020,10/3/2020,32.2226,-110.9747,Tucson,AZ,85712,US,NorthAmerica,752,Tucson,AZ,32.2228765,-110.9748477,,10/05/2020,11/4/2020,Boxes
09/28/2020,10/1/2020,40.3302,-79.7307,N. Huntingdon,PA,15642,US,NorthAmerica,2275,Pittsburgh,PA,40.4579648,-80.0196764,,10/02/2020,10/07/2020,Boxes
09/28/2020,10/3/2020,51.5074,-0.1278,london,london,000,UK,Europe,5354,,,,,,,,Boxes
09/28/2020,,38.3603,31.418,Aksehir/Konya ,Konya,42550,Turkey,Europe,6971,,,,,,,,Red Floral
09/28/2020,10/3/2020,51.5812,4.3156,Steenbergen,Netherlands,4651,Netherlands,Europe,5476,,,,,,,,Surprise Me
09/28/2020,10/30/2020,49.0703,23.8543,Bolekhiv,"Ivano-Frankivsk region, Ukraine",77202,Ukraine,Europe,6091,,,,,,,,Boxes
09/28/2020,10/2/2020,38.9072,-77.0369,Washington ,DC,20011,US,NorthAmerica,2435,Washington,DC,38.9173163,-76.9954865,,,,Surprise Me
09/28/2020,10/3/2020,51.7075,-1.7851,Fairford,Glos,0000000,UK,Europe,5294,,,,,,,,Surprise Me
09/28/2020,10/1/2020,42.3471,-76.5951,Newfield,NY,14867,US,NorthAmerica,2414,Rochester,NY,43.0861473,-77.5953457,,,,Blue Floral
09/28/2020,,5.5683,-0.1717,Accra,Labone,00233,Labone,Africa,7677,,,,,,,,Surprise Me
09/28/2020,10/1/2020,42.3876,-71.0995,Somerville,MA,02144,US,NorthAmerica,2690,Boston,MA,42.3508036,-71.0536732,,10/02/2020,10/07/2020,Surprise Me
09/28/2020,10/2/2020,40.1672,-105.1019,Longmont,CO,80504,US,NorthAmerica,943,Denver,CO,39.8317681,-104.6922579,,,,Surprise Me
09/28/2020,,21.8398,87.4232,Mohanpur,West Bengal,741246,India,India,7885,,,,,,,,Surprise Me
09/28/2020,10/2/2020,26.9342,-80.0942,Jupiter,FL,33477,US,NorthAmerica,2557,West Palm Beach,FL,26.715364,-80.0532942,,,,Blue Floral
